Time,vel,cur,tar_vel
1740043083.715034403,-0.0114051,-216,0.0145156
1740043083.718366589,-0.0114051,-214,0.0145156
1740043083.721969935,-0.0103683,-249,0.0145156
1740043083.725570509,-0.0103683,-217,0.0145156
1740043083.729156047,-0.0103683,-199,0.0145156
1740043083.732784451,-0.0103683,-196,0.0145156
1740043083.736355575,-0.0103683,-222,0.0145156
1740043083.739970794,-0.0103683,-205,0.0145156
1740043083.743571756,-0.0103683,-206,0.0145156
1740043083.747156680,-0.00933146,-181,0.0145156
1740043083.750776311,-0.00829463,-165,0.0145156
1740043083.754364474,-0.0072578,-140,0.0145156
1740043083.757978266,-0.0072578,-136,0.0145156
1740043083.761559114,-0.0072578,-144,0.0145156
1740043083.765150410,-0.00622098,-150,0.0145156
1740043083.768791720,-0.00622098,-150,0.0145156
1740043083.772369499,-0.00414732,-104,0.0145156
1740043083.775976649,-0.00414732,-104,0.0145156
1740043083.779558490,-0.00207366,-136,0.0145156
1740043083.783160621,0,-118,0.0145156
1740043083.786768318,0,-128,0.0145156
1740043083.790372959,0,-106,0.0145156
1740043083.794001151,0,-94,0.0145156
1740043083.797574313,0,-118,0.0145156
1740043083.801164208,0,-74,0.0145156
1740043083.804780688,0,-84,0.0145156
1740043083.808338305,0,-60,0.0145156
1740043083.811973688,0,-41,0.0145156
1740043083.815568995,0,-36,0.0145156
1740043083.819165579,0,-27,0.0145156
1740043083.822768245,0,3,0.0145156
1740043083.826362506,0,3,0.0145156
1740043083.829949944,0.00103683,-3,0.0145156
1740043083.833553830,0.00103683,-6,0.0145156
1740043083.837167906,0,15,0.0145156
1740043083.840775252,0.00207366,21,0.0145156
1740043083.844358525,0.00207366,46,0.0145156
1740043083.847990225,0.00311049,51,0.0145156
1740043083.851579270,0.00311049,60,0.0145156
1740043083.855154184,0.00311049,90,0.0145156
1740043083.858762788,0.00518415,80,0.0145156
1740043083.862373372,0.00518415,78,0.0145156
1740043083.865960314,0.00622098,78,0.0145156
1740043083.869566883,0.0072578,74,0.0145156
1740043083.873167407,0.0072578,104,0.0145156
1740043083.876769928,0.00933146,69,0.0145156
1740043083.880382393,0.00829463,59,0.0145156
1740043083.883962712,0.00829463,60,0.0145156
1740043083.887566335,0.00829463,98,0.0145156
1740043083.891172593,0.00933146,79,0.0145156
1740043083.894769183,0.00933146,58,0.0145156
1740043083.898358406,0.00933146,74,0.0145156
1740043083.901960640,0.0103683,28,0.0145156
1740043083.905557748,0.0114051,52,0.0145156
1740043083.909174440,0.0103683,69,0.0145156
1740043083.912785531,0.0103683,69,0.0145156
1740043083.916367833,0.00829463,84,0.0145156
1740043083.919958809,0.00829463,84,0.0145156
1740043083.923562537,0.0072578,96,0.0145156
1740043083.927171509,0.00829463,81,0.0145156
1740043083.930766347,0.00829463,92,0.0145156
1740043083.934353742,0.00829463,104,0.0145156
1740043083.937968720,0.00829463,95,0.0145156
1740043083.941543121,0.00829463,87,0.0145156
1740043083.945165561,0.00829463,95,0.0145156
1740043083.948781696,0.0103683,59,0.0145156
1740043083.952366378,0.0103683,95,0.0145156
1740043083.955965621,0.012442,68,0.0145156
1740043083.959566004,0.012442,70,0.0145156
1740043083.963164669,0.0134788,49,0.0145156
1740043083.966765906,0.0145156,53,0.0145156
1740043083.970367653,0.0145156,84,0.0145156
1740043083.973969221,0.012442,40,0.0145156
1740043083.977572508,0.0114051,27,0.0145156
1740043083.981158836,0.0103683,46,0.0145156
1740043083.984785914,0.00829463,42,0.0145156
1740043083.988358039,0.0072578,84,0.0145156
1740043083.991970886,0.0072578,51,0.0145156
1740043083.995559855,0.0072578,94,0.0145156
1740043083.999159598,0.00622098,98,0.0145156
1740043084.002771508,0.00518415,72,0.0145156
1740043084.006363576,0.00622098,117,0.0145156
1740043084.009968285,0.00622098,114,0.0145156
1740043084.013559319,0.0072578,109,0.0145156
1740043084.017160886,0.00829463,138,0.0145156
1740043084.020782393,0.0103683,89,0.0145156
1740043084.024368641,0.0103683,84,0.0145156
1740043084.027958899,0.012442,105,0.0145156
1740043084.031560251,0.0134788,102,0.0145156
1740043084.035169470,0.0145156,68,0.0145156
1740043084.038769868,0.0155524,71,0.0145156
1740043084.042365371,0.0145156,45,0.0145156
1740043084.045965529,0.0145156,36,0.0145156
1740043084.049556393,0.0134788,37,0.0145156
1740043084.053169122,0.012442,16,0.0145156
1740043084.056787473,0.00933146,39,0.0145156
1740043084.060360378,0.00829463,47,0.0145156
1740043084.063949388,0.00829463,47,0.0145156
1740043084.067569575,0.00518415,77,0.0145156
1740043084.071175102,0.00518415,113,0.0145156
1740043084.074774816,0.00518415,78,0.0145156
1740043084.078360740,0.00829463,70,0.0145156
1740043084.081965930,0.00933146,104,0.0145156
1740043084.085561899,0.00933146,50,0.0145156
1740043084.089156664,0.00933146,94,0.0145156
1740043084.092774922,0.0114051,77,0.0145156
1740043084.096364767,0.012442,86,0.0145156
1740043084.099958037,0.0134788,26,0.0145156
1740043084.103557075,0.0145156,18,0.0145156
1740043084.107169930,0.0134788,32,0.0145156
1740043084.110783803,0.0134788,33,0.0145156
1740043084.114332196,0.0134788,45,0.0145156
1740043084.117969088,0.012442,21,0.0145156
1740043084.121567358,0.0114051,26,0.0145156
1740043084.125163116,0.0103683,26,0.0145156
1740043084.128709383,0.0103683,52,0.0145156
1740043084.132362072,0.0072578,58,0.0145156
1740043084.135966908,0.0072578,43,0.0145156
1740043084.139564649,0.0072578,83,0.0145156
1740043084.143149214,0.0072578,41,0.0145156
1740043084.146756685,0.0072578,59,0.0145156
1740043084.150370794,0.00933146,79,0.0145156
1740043084.153970111,0.0103683,14,0.0145156
1740043084.157567168,0.0103683,65,0.0145156
1740043084.161152032,0.0134788,55,0.0145156
1740043084.164797111,0.0134788,41,0.0145156
1740043084.168377848,0.0134788,83,0.0145156
1740043084.171964318,0.0134788,49,0.0145156
1740043084.175564416,0.0134788,29,0.0145156
1740043084.179156949,0.012442,20,0.0145156
1740043084.182775011,0.0114051,78,0.0145156
1740043084.186375503,0.00933146,72,0.0145156
1740043084.189956807,0.00829463,98,0.0145156
1740043084.193572039,0.0072578,118,0.0145156
1740043084.197144936,0.00622098,138,0.0145156
1740043084.200720650,0.00622098,156,0.0145156
1740043084.204371203,0.00622098,147,0.0145156
1740043084.207975370,0.0072578,175,0.0145156
1740043084.211553728,0.0072578,166,0.0145156
1740043084.215164727,0.00829463,184,0.0145156
1740043084.218775777,0.00829463,192,0.0145156
1740043084.222373965,0.0103683,216,0.0145156
1740043084.225963187,0.012442,156,0.0145156
1740043084.229553770,0.012442,173,0.0145156
1740043084.233142571,0.0134788,180,0.0145156
1740043084.236792457,0.0134788,157,0.0145156
1740043084.240376118,0.0134788,182,0.0145156
1740043084.243967294,0.0145156,126,0.0145156
1740043084.247555590,0.0134788,148,0.0145156
1740043084.251151262,0.0134788,154,0.0145156
1740043084.254773947,0.0134788,171,0.0145156
1740043084.258372302,0.0103683,157,0.0145156
1740043084.261974165,0.0103683,173,0.0145156
1740043084.265573014,0.0103683,175,0.0145156
1740043084.269146794,0.0114051,169,0.0145156
1740043084.272777243,0.0114051,188,0.0145156
1740043084.276359423,0.0114051,154,0.0145156
1740043084.279971001,0.012442,174,0.0145156
1740043084.283569992,0.012442,170,0.0145156
1740043084.287154655,0.0155524,154,0.0145156
1740043084.290768776,0.0165893,168,0.0145156
1740043084.294376503,0.0165893,141,0.0145156
1740043084.297980586,0.0165893,102,0.0145156
1740043084.301566098,0.0165893,137,0.0145156
1740043084.305036336,0.0165893,104,0.0145156
1740043084.308642830,0.0155524,110,0.0145156
1740043084.312229648,0.0114051,100,0.0145156
1740043084.315826271,0.0103683,112,0.0145156
1740043084.319423927,0.0103683,130,0.0145156
1740043084.323054063,0.0103683,149,0.0145156
1740043084.326706556,0.0103683,147,0.0145156
1740043084.330232805,0.0103683,128,0.0145156
1740043084.333816576,0.012442,165,0.0145156
1740043084.337417499,0.0134788,139,0.0145156
1740043084.341017376,0.0134788,139,0.0145156
1740043084.344634866,0.0165893,114,0.0145156
1740043084.348218303,0.0176261,73,0.0145156
1740043084.351814880,0.0186629,72,0.0145156
1740043084.355414040,0.0186629,41,0.0145156
1740043084.359012868,0.0165893,79,0.0145156
1740043084.362623239,0.0155524,40,0.0145156
1740043084.366370713,0.0134788,39,0.0145156
1740043084.369969550,0.012442,91,0.0145156
1740043084.373561103,0.0103683,51,0.0145156
1740043084.377163885,0.0103683,51,0.0145156
1740043084.380784385,0.0103683,110,0.0145156
1740043084.384376558,0.0103683,94,0.0145156
1740043084.387954218,0.0103683,90,0.0145156
1740043084.391554378,0.0114051,103,0.0145156
1740043084.395171056,0.012442,115,0.0145156
1740043084.398768335,0.0114051,86,0.0145156
1740043084.402369066,0.0114051,86,0.0145156
1740043084.405954259,0.0134788,98,0.0145156
1740043084.409554790,0.0145156,59,0.0145156
1740043084.413164610,0.012442,104,0.0145156
1740043084.416790277,0.012442,113,0.0145156
1740043084.420374553,0.0103683,71,0.0145156
1740043084.423965857,0.0103683,115,0.0145156
1740043084.427551696,0.0103683,109,0.0145156
1740043084.431166117,0.00933146,101,0.0145156
1740043084.434762158,0.00933146,121,0.0145156
1740043084.438367940,0.0103683,157,0.0145156
1740043084.441966989,0.012442,87,0.0145156
1740043084.445556551,0.0134788,104,0.0145156
1740043084.449150185,0.0155524,86,0.0145156
1740043084.452771319,0.0155524,112,0.0145156
1740043084.456366730,0.0165893,77,0.0145156
1740043084.459955940,0.0165893,62,0.0145156
1740043084.463553721,0.0165893,32,0.0145156
1740043084.467173199,0.0155524,53,0.0145156
1740043084.470762954,0.0145156,55,0.0145156
1740043084.474373360,0.0114051,62,0.0145156
1740043084.477953473,0.0103683,104,0.0145156
1740043084.481560042,0.0103683,114,0.0145156
1740043084.485174026,0.00829463,133,0.0145156
1740043084.488771827,0.00829463,121,0.0145156
1740043084.492377890,0.00933146,115,0.0145156
1740043084.495955101,0.0103683,141,0.0145156
1740043084.499560785,0.0114051,109,0.0145156
1740043084.503166005,0.012442,135,0.0145156
1740043084.506761878,0.012442,129,0.0145156
1740043084.510364239,0.0134788,143,0.0145156
1740043084.513974107,0.0134788,112,0.0145156
1740043084.517567318,0.0145156,138,0.0145156
1740043084.521157312,0.0145156,141,0.0145156
1740043084.524782592,0.0145156,137,0.0145156
1740043084.528360129,0.0134788,122,0.0145156
1740043084.531964725,0.0134788,122,0.0145156
1740043084.535568430,0.012442,98,0.0145156
1740043084.539175143,0.012442,98,0.0145156
1740043084.542759302,0.012442,150,0.0145156
1740043084.546362710,0.0103683,138,0.0145156
1740043084.549966711,0.00933146,183,0.0145156
1740043084.553569099,0.00933146,183,0.0145156
1740043084.557160230,0.0103683,165,0.0145156
1740043084.560783091,0.0103683,182,0.0145156
1740043084.564368709,0.012442,146,0.0145156
1740043084.567968166,0.0134788,156,0.0145156
1740043084.571552404,0.0145156,155,0.0145156
1740043084.575171217,0.0134788,168,0.0145156
1740043084.578767917,0.0134788,161,0.0145156
1740043084.582379414,0.0134788,162,0.0145156
1740043084.585957726,0.0114051,170,0.0145156
1740043084.589558568,0.0103683,154,0.0145156
1740043084.593166568,0.00933146,200,0.0145156
1740043084.596777778,0.00933146,221,0.0145156
1740043084.600367045,0.00933146,225,0.0145156
1740043084.603964172,0.00933146,225,0.0145156
1740043084.607573770,0.00829463,238,0.0145156
1740043084.611156018,0.00933146,247,0.0145156
1740043084.614760759,0.00933146,265,0.0145156
1740043084.618369686,0.0103683,240,0.0145156
1740043084.621960162,0.0114051,244,0.0145156
1740043084.625557904,0.012442,209,0.0145156
1740043084.629167081,0.0134788,228,0.0145156
1740043084.632782875,0.0145156,220,0.0145156
1740043084.636311007,0.0155524,190,0.0145156
1740043084.639970507,0.0165893,193,0.0145156
1740043084.643560885,0.0165893,211,0.0145156
1740043084.647134048,0.0165893,196,0.0145156
1740043084.650721020,0.0155524,193,0.0145156
