Time,vel,cur,tar_vel,identification_angle
1745830143.971154137,0.0155524,4403,0.02,1.5708
1745830143.973400780,0.0145156,4371,0.02,1.5708
1745830143.975895362,0.0134788,4382,0.02,1.5708
1745830143.978393692,0.0114051,4372,0.02,1.5708
1745830143.980889736,0.0114051,4380,0.02,1.5708
1745830143.983416496,0.0103683,4411,0.02,1.5708
1745830143.985882934,0.0103683,4428,0.02,1.5708
1745830143.988385819,0.0103683,4433,0.02,1.5708
1745830143.990891159,0.0103683,4407,0.02,1.5708
1745830143.993393923,0.0103683,4412,0.02,1.5708
1745830143.995880417,0.00933146,4430,0.02,1.5708
1745830143.998387728,0.00933146,4415,0.02,1.5708
1745830144.000900497,0.00933146,4428,0.02,1.5708
1745830144.003406512,0.00829463,4442,0.02,1.5708
1745830144.005898317,0.00518415,4459,0.02,1.5708
1745830144.008383551,0.00518415,4459,0.02,1.5708
1745830144.010882663,0.00518415,4505,0.02,1.5708
1745830144.013401877,0.00518415,4533,0.02,1.5708
1745830144.015895434,0.00518415,4552,0.02,1.5708
1745830144.018397486,0.00518415,4552,0.02,1.5708
1745830144.020883265,0.00518415,4569,0.02,1.5708
1745830144.023408417,0.00829463,4520,0.02,1.5708
1745830144.025879785,0.00829463,4520,0.02,1.5708
1745830144.028387467,0.0134788,4505,0.02,1.5708
1745830144.030894822,0.0165893,4495,0.02,1.5708
1745830144.033402005,0.0155524,4488,0.02,1.5708
1745830144.035877335,0.0155524,4488,0.02,1.5708
1745830144.038387756,0.0165893,4482,0.02,1.5708
1745830144.040896416,0.0155524,4481,0.02,1.5708
1745830144.043413070,0.0134788,4494,0.02,1.5708
1745830144.045883734,0.012442,4506,0.02,1.5708
1745830144.048385515,0.0134788,4501,0.02,1.5708
1745830144.050892474,0.0145156,4497,0.02,1.5708
1745830144.053399018,0.0155524,4442,0.02,1.5708
1745830144.055895214,0.0217734,4362,0.02,1.5708
1745830144.058381837,0.0238471,4356,0.02,1.5708
1745830144.060899445,0.0238471,4335,0.02,1.5708
1745830144.063401133,0.0217734,4356,0.02,1.5708
1745830144.065882038,0.0207366,4343,0.02,1.5708
1745830144.068401974,0.0196998,4323,0.02,1.5708
1745830144.070904513,0.0217734,4312,0.02,1.5708
1745830144.073381889,0.0217734,4303,0.02,1.5708
1745830144.075898054,0.0196998,4271,0.02,1.5708
1745830144.078380205,0.0196998,4248,0.02,1.5708
1745830144.080882599,0.0196998,4275,0.02,1.5708
1745830144.083402137,0.0165893,4246,0.02,1.5708
1745830144.085881245,0.0176261,4262,0.02,1.5708
1745830144.088380565,0.0165893,4262,0.02,1.5708
1745830144.090887091,0.0165893,4262,0.02,1.5708
1745830144.093392781,0.0155524,4266,0.02,1.5708
1745830144.095880807,0.0155524,4266,0.02,1.5708
1745830144.098384109,0.0145156,4271,0.02,1.5708
1745830144.100886796,0.0145156,4271,0.02,1.5708
1745830144.103410232,0.0145156,4300,0.02,1.5708
1745830144.105892509,0.0145156,4317,0.02,1.5708
1745830144.108384861,0.0145156,4317,0.02,1.5708
1745830144.110884434,0.0145156,4317,0.02,1.5708
1745830144.113386840,0.0145156,4341,0.02,1.5708
1745830144.115895787,0.0155524,4314,0.02,1.5708
1745830144.118396377,0.0155524,4314,0.02,1.5708
1745830144.120886833,0.0165893,4337,0.02,1.5708
1745830144.123425458,0.0165893,4387,0.02,1.5708
1745830144.125886597,0.012442,4378,0.02,1.5708
1745830144.128390691,0.0145156,4368,0.02,1.5708
1745830144.130887404,0.0165893,4331,0.02,1.5708
1745830144.133387206,0.0228102,4311,0.02,1.5708
1745830144.135882146,0.0228102,4311,0.02,1.5708
1745830144.138257775,0.0228102,4323,0.02,1.5708
1745830144.140859429,0.0228102,4323,0.02,1.5708
1745830144.143420773,0.0248839,4250,0.02,1.5708
1745830144.145880559,0.0248839,4250,0.02,1.5708
1745830144.148398203,0.0259207,4277,0.02,1.5708
1745830144.150884056,0.0228102,4252,0.02,1.5708
1745830144.153381681,0.0228102,4235,0.02,1.5708
1745830144.155893217,0.0228102,4235,0.02,1.5708
1745830144.158374717,0.0238471,4140,0.02,1.5708
1745830144.160879377,0.0259207,4114,0.02,1.5708
1745830144.163407782,0.0248839,4110,0.02,1.5708
1745830144.165879105,0.0207366,4155,0.02,1.5708
1745830144.168396386,0.0176261,4174,0.02,1.5708
1745830144.170897305,0.0155524,4163,0.02,1.5708
1745830144.173378815,0.0145156,4233,0.02,1.5708
1745830144.175874387,0.0155524,4216,0.02,1.5708
1745830144.178387276,0.0155524,4216,0.02,1.5708
1745830144.180883135,0.0165893,4212,0.02,1.5708
1745830144.183402797,0.0155524,4222,0.02,1.5708
1745830144.185892873,0.0145156,4279,0.02,1.5708
1745830144.188380604,0.0134788,4299,0.02,1.5708
1745830144.190880468,0.012442,4336,0.02,1.5708
1745830144.193385453,0.0114051,4333,0.02,1.5708
1745830144.195887121,0.0114051,4333,0.02,1.5708
1745830144.198392010,0.0134788,4346,0.02,1.5708
1745830144.200881739,0.0134788,4346,0.02,1.5708
1745830144.203410754,0.0134788,4346,0.02,1.5708
1745830144.205885068,0.0165893,4358,0.02,1.5708
1745830144.208391410,0.0165893,4380,0.02,1.5708
1745830144.210877976,0.0165893,4380,0.02,1.5708
1745830144.213389791,0.0176261,4380,0.02,1.5708
1745830144.215883803,0.0176261,4380,0.02,1.5708
1745830144.218378150,0.0165893,4359,0.02,1.5708
1745830144.220885016,0.0217734,4313,0.02,1.5708
1745830144.223409094,0.0259207,4278,0.02,1.5708
1745830144.225896251,0.0259207,4278,0.02,1.5708
1745830144.228383021,0.0238471,4305,0.02,1.5708
1745830144.230885316,0.0228102,4285,0.02,1.5708
1745830144.233398231,0.0238471,4203,0.02,1.5708
1745830144.235894559,0.0248839,4175,0.02,1.5708
1745830144.238383161,0.0248839,4175,0.02,1.5708
1745830144.240901363,0.0248839,4152,0.02,1.5708
1745830144.243403604,0.0217734,4171,0.02,1.5708
1745830144.245877857,0.0217734,4171,0.02,1.5708
1745830144.248385010,0.0217734,4171,0.02,1.5708
